Frame,Predict
22,k
23,k
24,k
25,k
26,k
27,k
28,k
29,k
30,k
31,k
32,k
33,k
34,k
35,k
36,k
37,k
38,k
39,k
40,k
41,k
42,k
43,k
44,k
45,k
46,k
47,k
48,k
49,k
50,k
51,k
52,k
53,k
54,k
55,k
56,k
57,k
58,k
59,k
60,k
61,k
62,k
63,k
64,k
65,k
66,k
67,k
68,k
69,k
70,k
71,k
72,k
73,k
74,k
75,k
76,k
77,k
78,k
79,k
80,k
81,k
82,k
83,k
84,k
85,k
86,k
87,r
88,r
89,1
90,1
91,1
92,l
93,l
94,l
95,d
96,l
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,t
126,l
127,t
128,m
129,t
130,1
131,p
132,p
133,p
134,p
135,p
136,p
137,2
138,p
139,m
140,1
141,1
142,l
143,l
144,l
145,1
146,1
147,1
148,1
149,l
150,l
151,l
153,g
154,1
155,l
156,l
