Frame,Predict
12,y1
13,y1
14,y1
15,y1
16,k
17,k
18,k
19,r
20,t
21,t
22,t
23,t
24,t
25,t
26,t
27,t
28,t
29,t
30,t
31,t
32,t
33,t
34,t
35,t
36,t
37,t
38,t
39,t
40,t
41,t
42,t
43,t
44,t
45,t
46,t
47,t
48,t
49,t
50,t
51,t
52,t
53,t
54,t
55,t
56,t
57,t
58,t
59,t
60,s
61,s
62,s
63,s
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,w
113,w
114,w
115,w
116,y2
117,y2
