Frame,Predict
3,q
4,p
5,p
6,p
7,p
8,f
9,h
10,h
11,h
12,h
13,h
14,h
15,h
16,h
17,h
18,p
19,p
20,p
21,p
22,p
23,p
24,p
25,p
26,p
27,p
28,p
29,p
30,p
31,p
32,p
33,p
34,p
35,q
36,q
37,q
38,p
39,p
40,p
41,p
42,p
43,q
44,p
45,p
46,p
47,p
48,q
49,q
50,q
51,q
52,q
53,q
54,q
55,q
56,q
57,q
58,q
59,q
60,q
61,q
62,q
63,q
64,p
65,p
66,p
67,p
68,p
69,p
70,l
71,l
72,l
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,t
102,t
103,t
104,t
105,t
106,q
107,p
108,h
109,h
