Frame,Predict
13,g
14,g
15,5
16,5
19,d
20,d
21,y2
22,y2
23,j2
24,j2
25,j2
26,j2
27,j2
28,j2
29,j2
30,j2
31,j2
32,j2
33,j2
34,j2
35,j2
36,j2
37,j2
38,j2
39,j2
40,j2
41,j2
42,j2
43,j2
44,j2
45,j2
46,j2
47,j2
48,j2
49,j2
50,j2
51,j2
52,j2
53,j2
54,j2
55,j2
56,j2
57,j2
58,j2
59,j2
60,j2
61,j2
62,j1
63,m
64,m
65,p
66,p
67,p
68,p
69,g
70,a
71,a
72,a
73,a
74,t
75,a
76,a
77,y2
78,y2
79,y1
80,y1
81,y1
82,y1
83,j2
84,j2
85,j2
86,j2
87,j2
88,j2
89,j2
90,j2
91,j2
92,j2
93,j2
94,j2
95,j2
96,j2
97,j2
98,j2
99,j2
100,j2
101,j2
102,j2
103,j2
104,j2
105,j2
106,j2
107,j2
108,j2
109,j2
110,j2
111,j2
112,j2
113,j2
114,j2
115,j2
116,j2
117,j2
118,j2
119,j2
120,j2
121,j2
122,j2
123,j2
124,j2
125,j2
126,j2
127,j2
128,j2
129,4
130,c
